City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
200,Kirkwall,GB,58.9848,-2.9587,52.14,70,20,6.91,few clouds
201,Mandiana,GN,10.6333,-8.6833,87.04,64,87,2.51,overcast clouds
202,Labytnangi,RU,66.6572,66.4183,35.04,81,1,5.12,clear sky
203,Linhares,BR,-19.3911,-40.0722,77.13,44,23,13.67,few clouds
204,Hualmay,PE,-11.0964,-77.6139,67.73,70,68,10.42,broken clouds
205,Narsaq,GL,60.9167,-46.05,43.02,49,38,6.51,scattered clouds
206,Menongue,AO,-14.6585,17.691,81.43,14,37,5.75,scattered clouds
207,Veraval,IN,20.9,70.3667,80.1,84,34,7.05,scattered clouds
208,Santo Tomas,PH,14.1079,121.1414,80.85,94,93,2.17,overcast clouds
209,Khorixas,NA,-20.3667,14.9667,86.95,8,47,16.42,scattered clouds
210,Yarmouth,US,41.7057,-70.2286,80.82,81,90,8.01,overcast clouds
211,Kibaha,TZ,-6.7667,38.9167,74.1,73,35,8.01,scattered clouds
212,Kavaratti,IN,10.5669,72.642,82.11,78,79,15.68,broken clouds
213,Batsfjord,NO,70.6345,29.7185,46.4,70,100,21.23,light rain
214,Faya,SA,18.3851,42.4509,69.91,54,54,3.2,broken clouds
215,Porto Santo,PT,33.072,-16.3415,73.78,56,40,12.66,scattered clouds
216,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,10.36,broken clouds
217,Irbit,RU,57.6705,63.071,40.39,77,23,4.38,few clouds
218,Pisco,PE,-13.7,-76.2167,65.01,77,72,10.36,broken clouds
219,Santiago De Cao,PE,-7.9589,-79.2392,64.53,77,40,11.5,scattered clouds
220,Voskresenskoye,RU,56.8381,45.4317,49.8,88,98,11.12,light rain
221,Masumbwe,TZ,-3.6333,32.1833,80.56,33,97,3.49,overcast clouds
222,Maceio,BR,-9.6658,-35.7353,87.24,66,40,12.66,scattered clouds
223,Kananga,CD,-5.8958,22.4178,67.78,86,100,3.85,light rain
224,Hamilton,US,39.1834,-84.5333,64.99,71,75,4.0,broken clouds
225,Cap Malheureux,MU,-19.9842,57.6142,72.09,77,11,11.01,few clouds
226,Severnyy,RU,50.677,36.5532,46.44,93,100,2.24,overcast clouds
227,Mahibadhoo,MV,3.7833,72.9667,83.46,76,85,17.34,overcast clouds
228,Trairi,BR,-3.2778,-39.2689,87.04,56,64,15.52,broken clouds
229,Cayenne,GF,4.9333,-52.3333,91.44,71,0,4.0,clear sky
230,Zhanakorgan,KZ,43.9098,67.2495,65.61,22,3,20.54,clear sky
231,Kantunilkin,MX,21.0917,-87.45,84.04,84,45,2.98,scattered clouds
232,Ugoofaaru,MV,5.6667,73.0,83.07,77,99,16.91,overcast clouds
233,Helsinge,DK,56.0228,12.1975,55.69,73,95,20.0,overcast clouds
234,Shorewood,US,41.52,-88.2017,65.44,49,1,12.66,clear sky
235,Sohbatpur,PK,28.5202,68.5434,94.42,37,0,10.29,clear sky
236,Pitanga,BR,-24.7572,-51.7614,78.53,33,94,4.54,overcast clouds
237,Kharovsk,RU,59.9642,40.1912,45.59,94,100,8.14,overcast clouds
238,Kattivakkam,IN,13.2167,80.3167,84.29,76,64,8.41,broken clouds
239,Pitimbu,BR,-7.4706,-34.8086,88.39,64,52,13.24,broken clouds
240,Goderich,CA,43.7501,-81.7165,61.92,88,100,14.97,overcast clouds
241,Kanniyakumari,IN,8.0833,77.5667,80.96,81,81,19.8,broken clouds
242,Oudtshoorn,ZA,-33.5907,22.2014,59.36,65,39,7.96,scattered clouds
243,Atar,MR,20.5169,-13.0499,104.13,10,28,12.24,scattered clouds
244,Pemba,MZ,-12.974,40.5178,77.7,83,40,12.66,scattered clouds
245,Salalah,OM,17.0151,54.0924,82.49,89,40,5.75,scattered clouds
246,Milledgeville,US,33.0801,-83.2321,73.89,64,0,7.52,clear sky
247,Usinsk,RU,65.9939,57.5281,39.22,85,100,7.63,overcast clouds
248,Yara,CU,20.2753,-76.9533,91.33,50,5,4.16,clear sky
249,Rapla,EE,59.0072,24.7928,49.71,95,100,16.31,light rain
250,Paamiut,GL,61.994,-49.6678,34.48,78,19,12.44,few clouds
251,Biltine,TD,14.5333,20.9167,93.38,29,9,5.79,clear sky
252,Totness,SR,5.8833,-56.3167,87.15,62,71,9.66,broken clouds
253,Areia Branca,BR,-4.9561,-37.1369,93.4,57,10,18.1,clear sky
254,Lodja,CD,-3.4833,23.4333,74.19,86,97,5.12,light rain
255,Talcahuano,CL,-36.7167,-73.1167,60.48,67,0,13.8,clear sky
256,Loharu,IN,28.45,75.8167,81.63,77,99,6.31,moderate rain
257,Kosh-Agach,RU,50.0,88.6667,29.25,46,32,1.74,scattered clouds
258,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,17.27,clear sky
259,Oksfjord,NO,70.2396,22.3479,48.38,94,100,11.97,overcast clouds
260,Kita,ML,13.0349,-9.4895,89.58,53,91,2.19,overcast clouds
261,Manavalakurichi,IN,8.1333,77.3,80.69,83,58,16.87,broken clouds
262,Chapleau,CA,47.8405,-83.4034,44.69,70,90,20.71,overcast clouds
263,Kalabo,ZM,-14.97,22.6814,81.88,13,60,6.31,broken clouds
264,Aasiaat,GL,68.7098,-52.8699,23.16,81,97,5.53,overcast clouds
265,Angoche,MZ,-16.2325,39.9086,74.5,76,10,10.87,clear sky
